"Coût_chauffage","Surface_habitable_immeuble","Coût_éclairage","Conso_5_usages_é_finale","Date_réception_DPE","Coût_total_5_usages","N°DPE","Code_postal_(BAN)","Surface_habitable_logement","Coût_auxiliaires","Type_bâtiment","Coût_ECS","Conso_5_usages_par_m²_é_primaire","Coût_refroidissement","Etiquette_DPE","_score"
262.7,1502.2,95.9,3836.6,"2023-11-08",450.3,"2369N3794846S","69170",46.4,6,"appartement",149.3,86.5,0,"C",33.54032
139.5,1502.2,80.3,2594.8,"2023-11-08",308.3,"2369N3794882C","69170",38.8,5,"appartement",136.8,70.6,0,"C",33.54032
322.7,1502.2,99.9,4410.4,"2023-11-08",515,"2369N3794857D","69170",48.3,6.2,"appartement",152.5,95.1,0,"C",33.54032
683.6,1268.7,209.7,8417.9,"2023-12-08",962.3,"2369N4225366E","69170",90.7,12.3,"appartement",203.5,99.7,0,"C",33.54032
561.1,1502.2,197.9,7097.6,"2023-11-08",838,"2369N3794956Y","69170",95.6,12.4,"appartement",197.9,77.9,0,"C",33.54032
147.5,1502.2,84.6,2703,"2023-11-08",321.4,"2369N3794914I","69170",40.9,5.3,"appartement",140.2,69.9,0,"C",33.54032
317.1,1715,144.7,4552.2,"2023-11-08",542.2,"2369N3794974Q","69170",64.5,8,"appartement",166.8,74.7,0,"C",33.54032
139.5,1502.2,80.3,2594.8,"2023-11-08",308.3,"2369N3794923R","69170",38.8,5,"appartement",136.8,70.6,0,"C",33.54032
296.6,1502.2,128.3,4342,"2023-11-08",514.4,"2369N3794939H","69170",62,8,"appartement",166.6,73.7,0,"C",33.54032
346.3,1268.7,102.2,4739.9,"2023-12-08",536.3,"2369N4225410W","69170",44.2,6,"appartement",153.4,114.3,0,"C",33.54032
359.6,1715,178.6,5106.5,"2023-11-08",612.2,"2369N3794977T","69170",79.6,9.9,"appartement",180.7,68.2,0,"C",33.54032
139.5,1502.2,80.3,2594.8,"2023-11-08",308.3,"2369N3794902W","69170",38.8,5,"appartement",136.8,70.6,0,"C",33.54032
289.9,1715,145.6,4312.5,"2023-11-08",515.8,"2369N3795044I","69170",64.9,8.1,"appartement",167.2,70.6,0,"C",33.54032
496.8,1268.7,166.4,6490.6,"2023-12-08",741.6,"2369N4225382U","69170",72,9.8,"appartement",185.1,96.8,0,"C",33.54032
263.5,1715,145.6,4074.4,"2023-11-08",489.3,"2369N3795016G","69170",64.9,8.1,"appartement",167.2,66.9,0,"C",33.54032
300.4,1268.7,103.3,4331.9,"2023-12-08",491.6,"2369N4225388A","69170",44.7,6.1,"appartement",154.3,103.5,0,"C",33.54032
442.3,1268.7,115.8,5727.3,"2023-12-08",647.4,"2369N4225378Q","69170",50.1,6.8,"appartement",163.6,121.8,0,"C",33.54032
147.5,1502.2,84.6,2703,"2023-11-08",321.4,"2369N3794897R","69170",40.9,5.3,"appartement",140.2,69.9,0,"C",33.54032
496.8,1268.7,114.4,6211.4,"2023-12-08",700.4,"2369N4225424K","69170",49.5,6.7,"appartement",162.7,133.4,0,"C",33.54032
